"New/Returning","Last Ref Channel","Last Session","Landing Page","Total Visits","Total Time Spent","Conversions","Leads","Total Clicks","fbclid","gclid","Referrers By Medium","Referrers By Type","Referrers By Campaign","Referral","OS","Brand","Browser","City","Country"
"DRU","Offline Sources","2022-06-03","undefined","0","","0","0","1","False","False","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"DRU","Organic Search","2022-06-03","https://reddoorescape.com/escape-rooms","1","4s ","0","0","2","False","False","google","organic","undefined","https://www.google.com/","iOS","Apple","Safari","undefined","United States"
"DRU","Referrals","2022-06-03","https://reddoorescape.com/","1","","0","0","1","False","False","Direct Traffic","organic","organic","Direct Traffic","Mac OS X","Apple","Chrome","undefined","India"
"DRU","Ad Campaigns","2022-06-03","https://reddoorescape.com/escape-rooms","1","","0","0","1","False","True","google","undefined","organic","Direct Traffic","iOS","Apple","Safari","Anna","United States"
"DRU","Ad Campaigns","2022-06-03","https://reddoorescape.com/escape-rooms","1","54s ","0","0","3","False","True","google","undefined","organic","Direct Traffic","Android","Samsung","Chrome","undefined","United States"
"DRU","Referrals","2022-06-03","https://reddoorescape.com/episode","3","","0","0","3","False","False","Direct Traffic","organic","organic","Direct Traffic","iOS","Apple","Safari","Roanoke","United States"
"DRU","Referrals","2022-06-03","https://reddoorescape.com/escape-rooms","1","1s ","0","0","2","False","False","Direct Traffic","organic","organic","Direct Traffic","iOS","Apple","Safari","Denver","United States"
"DNU","Ad Campaigns","2022-06-03","https://reddoorescape.com/escape-rooms","2","2s ","0","0","3","False","True","google","undefined","organic","Direct Traffic","Android","Motorola","Chrome","Fort Worth","United States"
"DRU","Referrals","2022-06-03","https://reddoorescape.com/episode","8","1h 53m 6s ","0","0","95","False","False","Direct Traffic","organic","organic","Direct Traffic","iOS","Apple","Safari","undefined","United States"
"DRU","Referrals","2022-06-03","https://reddoorescape.com/escape-rooms","1","9s ","0","0","8","False","False","Direct Traffic","organic","organic","Direct Traffic","iOS","Apple","Safari","Grand Prairie","United States"
"DNU","Ad Campaigns","2022-06-03","https://reddoorescape.com/escape-rooms","1","","0","0","1","False","True","google","undefined","undefined","https://googleads.g.doubleclick.net/pagead/adfetch","Windows NT","Unknown","Firefox","Miami","United States"
"DRU","Referrals","2022-06-03","https://reddoorescape.com/escape-rooms","1","59s ","0","0","4","False","False","Direct Traffic","organic","organic","Direct Traffic","Android","Samsung","SamsungBrowser","Carrollton","United States"
"DRU","Ad Campaigns","2022-06-03","https://reddoorescape.com/escape-rooms","1","1m 17s ","0","0","6","False","True","google","undefined","undefined","https://hillsdale.com/","Android","Google","Chrome","Burlingame","United States"
"DNU","Referrals","2022-06-03","https://reddoorescape.com/escape-rooms","3","6m 26s ","0","0","18","False","True","Direct Traffic","organic","organic","Direct Traffic","iOS","Apple","Safari","San Diego","United States"
"DRU","Organic Search","2022-06-03","https://reddoorescape.com/escape-rooms","2","23s ","0","0","5","False","False","google","organic","undefined","https://www.google.com/","iOS","Apple","Safari","undefined","United States"
"DNU","Ad Campaigns","2022-06-03","https://reddoorescape.com/episode","1","20m 56s ","0","0","8","False","True","google","undefined","undefined","https://www.google.com/","Android","Samsung","Chrome","Keller","United States"
"DRU","Organic Search","2022-06-03","https://reddoorescape.com/escape-rooms","1","","0","0","2","False","False","google","organic","undefined","https://www.google.com/","iOS","Apple","Safari","undefined","United States"
"DRU","Organic Search","2022-06-03","https://reddoorescape.com/blog-the-process-of-designing-an-escape-room","1","1m 42s ","0","0","2","False","False","google","organic","undefined","https://www.google.com/","Windows NT","Unknown","Chrome","undefined","Trinidad and Tobago"
"DRU","Ad Campaigns","2022-06-03","https://reddoorescape.com/escape-rooms","1","1h 10m 52s ","0","0","29","False","True","google","undefined","organic","Direct Traffic","Android","Alcatel","Chrome","Salt Lake City","United States"
"DNU","Ad Campaigns","2022-06-03","https://reddoorescape.com/escape-rooms","1","30s ","0","0","3","False","True","google","undefined","organic","Direct Traffic","iOS","Apple","Safari","undefined","United States"
"DNU","Ad Campaigns","2022-06-03","https://reddoorescape.com/escape-rooms","2","50m 36s ","2","0","27","False","True","google","undefined","undefined","https://www.google.com/","iOS","Apple","Chrome","undefined","United States"
"DNU","Referrals","2022-06-03","https://reddoorescape.com/story-page","1","3s ","0","0","2","False","False","Direct Traffic","organic","organic","Direct Traffic","iOS","Apple","Safari","Oxnard","United States"
"DNU","Ad Campaigns","2022-06-03","https://reddoorescape.com/episode","2","8m 43s ","0","0","6","False","True","google","undefined","undefined","https://www.google.com/","iOS","Apple","Safari","Fort Worth","United States"
"DNU","Ad Campaigns","2022-06-03","https://reddoorescape.com/escape-rooms","2","6s ","0","0","3","False","True","google","undefined","undefined","https://www.google.com/","iOS","Apple","Safari","Walnut Creek","United States"
"DRU","Organic Search","2022-06-03","https://reddoorescape.com/escape-rooms","1","20s ","0","0","2","False","False","google","organic","undefined","https://www.google.com/","Android","Samsung","SamsungBrowser","Hayward","United States"
"DRU","Organic Search","2022-06-03","https://reddoorescape.com/escape-rooms","2","28m 4s ","0","1","12","False","False","google","organic","undefined","https://www.google.com/","Windows NT","Unknown","Chrome","Livermore","United States"
"DNU","Ad Campaigns","2022-06-03","https://reddoorescape.com/escape-rooms","1","","0","0","1","False","True","google","undefined","organic","Direct Traffic","iOS","Apple","Safari","undefined","United States"
"DRU","Referrals","2022-06-03","https://reddoorescape.com/episode","2","17s ","0","0","6","False","False","Direct Traffic","organic","organic","Direct Traffic","iOS","Apple","Safari","West Sacramento","United States"
"DRU","Bots","2022-06-03","https://reddoorescape.com/escape-rooms","1","2s ","0","0","3","False","False","Bots","Bots","organic","Direct Traffic","iOS","Apple","Chrome","undefined","United States"
"DNU","Ad Campaigns","2022-06-03","https://reddoorescape.com/escape-rooms","2","1s ","0","0","3","False","True","google","undefined","organic","Direct Traffic","Android","Google","Chrome","Ciudad Juárez","Mexico"
"DRU","Ad Campaigns","2022-06-03","https://reddoorescape.com/escape-rooms","1","","0","0","1","False","True","google","undefined","organic","Direct Traffic","Google","Google","Googlebot","Mountain View","United States"
"DRU","Ad Campaigns","2022-06-03","https://reddoorescape.com/episode","1","","0","0","1","False","True","google","undefined","organic","Direct Traffic","Google","Google","Googlebot","Mountain View","United States"
"DRU","Organic Search","2022-06-03","https://reddoorescape.com/escape-rooms","1","2s ","0","0","2","False","False","google","organic","undefined","https://www.google.com/","Windows NT","Unknown","Firefox","Boise","United States"
"DRU","Ad Campaigns","2022-06-03","https://reddoorescape.com/escape-rooms","1","3h 5m 9s ","0","0","29","False","True","google","undefined","undefined","https://www.google.com/","Mac OS X","Apple","Chrome","Los Angeles","United States"
"DRU","Organic Search","2022-06-03","https://reddoorescape.com/","1","7s ","0","0","2","False","False","google","organic","undefined","https://www.google.com/","iOS","Apple","Chrome","Roseville","United States"
"DRU","Organic Search","2022-06-03","https://reddoorescape.com/escape-rooms","1","9s ","0","0","2","False","False","google","organic","undefined","https://www.google.com/","Chrome OS","Google","Chrome","Emeryville","United States"
"DRU","Referrals","2022-06-03","https://reddoorescape.com/escape-rooms","1","","0","0","2","False","False","Direct Traffic","organic","organic","Direct Traffic","iOS","Apple","Safari","Little Elm","United States"
"DRU","Referrals","2022-06-03","https://reddoorescape.com/escape-rooms","1","4s ","0","0","2","False","False","Direct Traffic","organic","organic","Direct Traffic","Android","Samsung","Chrome","undefined","United States"
"DNU","Ad Campaigns","2022-06-03","https://reddoorescape.com/escape-rooms","1","","0","0","1","False","True","google","undefined","undefined","https://www.google.com/","iOS","Apple","Safari","Fairfield","United States"
"DNU","Organic Search","2022-06-03","https://reddoorescape.com/episode","1","24m 26s ","2","0","12","False","False","google","organic","undefined","https://www.google.com/","Mac OS X","Apple","Chrome","Campbell","United States"
"DRU","Referrals","2022-06-03","https://reddoorescape.com/escape-rooms","2","2m 59s ","0","0","30","False","False","Direct Traffic","organic","organic","Direct Traffic","iOS","Apple","Safari","undefined","United States"
"DNU","Ad Campaigns","2022-06-03","https://reddoorescape.com/personality-quiz","1","53m 59s ","0","0","28","False","True","google","undefined","undefined","https://www.google.com/","Windows NT","Unknown","Chrome","Southlake","United States"
"DRU","Referrals","2022-06-03","https://reddoorescape.com/escape-rooms","1","1s ","0","0","2","False","False","Direct Traffic","organic","organic","Direct Traffic","Windows NT","Unknown","Chrome","Fort Worth","United States"
"DNU","Referrals","2022-06-03","https://reddoorescape.com/episode","1","6s ","0","0","2","False","False","Direct Traffic","organic","organic","Direct Traffic","Android","Google","Chrome","undefined","United States"
"DNU","Ad Campaigns","2022-06-03","https://reddoorescape.com/escape-rooms","1","1m 25s ","0","0","12","False","True","google","undefined","undefined","https://www.google.com/","Android","Huawei","Chrome","Newark","United States"
"DRU","Referrals","2022-06-03","https://reddoorescape.com/escape-rooms","2","19m 11s ","0","0","20","False","True","Direct Traffic","organic","organic","Direct Traffic","Android","Samsung","SamsungBrowser","Naples","Italy"
"DRU","Ad Campaigns","2022-06-03","https://reddoorescape.com/escape-rooms","1","","0","0","1","False","True","google","undefined","organic","Direct Traffic","Android","Samsung","SamsungBrowser","Fremont","United States"
"DRU","Organic Search","2022-06-03","https://reddoorescape.com/escape-rooms","1","2m 58s ","0","0","13","False","False","google","organic","undefined","https://www.google.com/","Mac OS X","Apple","Firefox","Keller","United States"
"DRU","Referrals","2022-06-03","https://reddoorescape.com/episode","1","","0","0","1","False","False","Direct Traffic","organic","organic","Direct Traffic","Mac OS X","Apple","Chrome","Oxnard","United States"
"DRU","Organic Search","2022-06-03","https://reddoorescape.com/escape-rooms","2","2m 14s ","0","0","11","False","False","google","organic","undefined","https://www.google.com/","iOS","Apple","Chrome","undefined","United States"
"DRU","Referrals","2022-06-03","https://reddoorescape.com/escape-rooms","2","10m 33s ","0","0","6","False","False","Direct Traffic","organic","organic","Direct Traffic","iOS","Apple","Safari","Spring","United States"
"DRU","Referrals","2022-06-03","https://reddoorescape.com/episode","1","3s ","0","0","2","False","False","Direct Traffic","organic","organic","Direct Traffic","iOS","Apple","Chrome","Joshua","United States"
"DRU","Ad Campaigns","2022-06-03","https://reddoorescape.com/escape-rooms","2","2s ","0","0","4","False","True","google","undefined","undefined","https://www.google.com/","iOS","Apple","Safari","Folsom","United States"
"DRU","Referrals","2022-06-03","https://reddoorescape.com/escape-rooms","3","18m 41s ","0","0","11","False","False","Direct Traffic","organic","organic","Direct Traffic","Windows NT","Unknown","Chrome","undefined","Pakistan"
"DRU","Organic Search","2022-06-03","https://reddoorescape.com/escape-rooms","1","2s ","0","0","2","False","False","google","organic","undefined","https://www.google.com/","iOS","Apple","Safari","undefined","United States"
"DRU","Ad Campaigns","2022-06-03","https://reddoorescape.com/personality-quiz","1","3m 31s ","0","0","5","False","True","google","undefined","undefined","https://youtube.com/","Android","Samsung","Chrome","Parral","Mexico"
"DNU","Ad Campaigns","2022-06-03","https://reddoorescape.com/escape-rooms","1","8s ","0","0","2","False","True","google","undefined","organic","Direct Traffic","iOS","Apple","Chrome","Oklahoma City","United States"
"DRU","Referrals","2022-06-03","https://reddoorescape.com/episode","1","25s ","0","0","4","False","False","Direct Traffic","organic","organic","Direct Traffic","iOS","Apple","Safari","Hurst","United States"
"DNU","Ad Campaigns","2022-06-03","https://reddoorescape.com/escape-rooms","1","","0","0","1","False","True","google","undefined","undefined","https://www.google.com/","Android","Samsung","Chrome","undefined","United States"
"DNU","Ad Campaigns","2022-06-03","https://reddoorescape.com/escape-rooms","1","1s ","0","0","2","False","True","google","undefined","undefined","https://www.google.com/","iOS","Apple","Safari","Dallas","United States"
"DRU","Referrals","2022-06-03","https://reddoorescape.com/escape-rooms","1","10s ","0","0","2","False","False","Direct Traffic","organic","organic","Direct Traffic","iOS","Apple","DuckDuckGo","Lewisville","United States"